Year,Department,Party,Votes,Party2,Votes2,Party3,Votes3,Others
1984,Artigas,PC,20675,PN,14391,FA,2291,194
1984,Canelones,PC,89223,PN,72222,FA,30978,4086
1984,Cerro Largo,PN,25769,PC,19994,FA,3126,386
1984,Colonia,PN,33397,PC,33388,FA,9312,1055
1984,Durazno,PN,17715,PC,14238,FA,1843,512
1984,Flores,PN,8415,PC,6928,FA,811,396
1984,Florida,PC,20500,PN,18384,FA,3877,647
1984,Lavalleja,PC,21039,PN,19861,FA,2251,678
1984,Maldonado,PC,27622,PN,23011,FA,6683,1693
1984,Montevideo,PC,318588,FA,297490,PN,239080,28843
1984,Paysandú,PN,26257,PC,25939,FA,9073,1164
1984,Río Negro,PC,15681,PN,10382,FA,2764,141
1984,Rivera,PC,27629,PN,23345,FA,3540,377
1984,Rocha,PC,22157,PN,17076,FA,2809,508
1984,Salto,PC,33295,PN,24699,FA,6725,921
1984,San José,PN,24535,PC,20374,FA,5880,3181
1984,Soriano,PC,24102,PN,23396,FA,5672,1061
1984,Tacuarembó,PN,24381,PC,23229,FA,4236,786
1984,Treinta y Tres,PN,14457,PC,13100,FA,1643,155
1989,Artigas,PN,19766,PC,19061,FA,2193,1780
1989,Canelones,PN,87251,PC,70153,FA,35424,19060
1989,Cerro Largo,PN,32577,PC,15675,FA,3007,1944
1989,Colonia,PN,40476,PC,26249,FA,9067,4079
1989,Durazno,PN,21239,PC,10776,FA,2069,1242
1989,Flores,PN,9480,PC,5544,FA,1351,745
1989,Florida,PN,22540,PC,15224,FA,4222,3181
1989,Lavalleja,PN,22888,PC,16629,FA,2251,2392
1989,Maldonado,PN,28584,PC,22331,FA,7444,6338
1989,Montevideo,FA,312778,PN,241222,PC,226372,126430
1989,Paysandú,PN,34026,PC,21099,FA,6912,4193
1989,Río Negro,PC,13527,PN,12302,FA,3214,1043
1989,Rivera,PN,30509,PC,26299,FA,3322,1236
1989,Rocha,PN,23134,PC,17758,FA,2752,1871
1989,Salto,PN,33628,PC,24503,FA,5771,3899
1989,San José,PN,31716,PC,14938,FA,5901,4168
1989,Soriano,PN,27284,PC,18948,FA,5517,2765
1989,Tacuarembó,PN,30448,PC,20183,FA,3740,1882
1989,Treinta y Tres,PN,16920,PC,11695,FA,1468,981
1994,Artigas,PC,19723,PN,19150,FA,6148,487
1994,Canelones,PC,82831,PN,73668,FA,66448,15166
1994,Cerro Largo,PN,28053,PC,17747,FA,7736,879
1994,Colonia,PN,30918,PC,29762,FA,16174,3111
1994,Durazno,PN,18477,PC,11837,FA,4330,1090
1994,Flores,PN,8490,PC,5783,FA,2384,544
1994,Florida,PC,17788,PN,17609,FA,8533,1914
1994,Lavalleja,PN,19903,PC,16645,FA,5047,1356
1994,Maldonado,PN,30033,PC,25113,FA,13725,4008
1994,Montevideo,FA,405111,PC,243921,PN,193566,75888
1994,Paysandú,PN,24553,PC,21127,FA,17804,1797
1994,Río Negro,PC,13335,PN,11510,FA,5636,755
1994,Rivera,PC,31611,PN,24706,FA,5872,707
1994,Rocha,PC,20376,PN,18017,FA,6267,1615
1994,Salto,PC,29311,PN,24518,FA,14637,1613
1994,San José,PN,25955,PC,18018,FA,12014,3079
1994,Soriano,PN,20734,PC,20088,FA,11818,1660
1994,Tacuarembó,PN,29023,PC,19319,FA,7700,1412
1994,Treinta y Tres,PN,14501,PC,12093,FA,3842,1162
1999,Artigas,PC,19753,PN,16595,FA,10907,693
1999,Canelones,FA,106571,PC,90355,PN,59832,14413
1999,Cerro Largo,PN,21814,PC,18376,FA,15233,1424
1999,Colonia,PC,28197,PN,25639,FA,25198,4943
1999,Durazno,PN,14693,PC,14206,FA,8445,1247
1999,Flores,PN,7343,PC,6499,FA,3996,599
1999,Florida,PC,16897,PN,15491,FA,13958,1756
1999,Lavalleja,PC,17805,PN,15954,FA,9457,1690
1999,Maldonado,FA,30501,PC,30485,PN,20168,4425
1999,Montevideo,FA,484441,PC,278684,PN,118569,54197
1999,Paysandú,FA,30921,PC,20654,PN,19119,2649
1999,Río Negro,PC,14314,FA,9832,PN,8250,1502
1999,Rivera,PC,28095,PN,24418,FA,13083,1503
1999,Rocha,PC,17984,PN,15824,FA,14016,1572
1999,Salto,PC,29490,FA,24029,PN,19782,2858
1999,San José,PN,21704,PC,19622,FA,19990,2583
1999,Soriano,PC,21697,FA,19273,PN,14875,2007
1999,Tacuarembó,PN,25561,PC,19820,FA,13679,1876
1999,Treinta y Tres,PN,13349,PC,10982,FA,7672,1115
2004,Artigas,PN,24517,FA,16220,PC,8563,202
2004,Canelones,FA,161879,PN,98844,PC,28044,7627
2004,Cerro Largo,PN,29129,FA,23111,PC,6700,300
2004,Colonia,PN,37302,FA,36677,PC,10136,2168
2004,Durazno,PN,19456,FA,13524,PC,6117,783
2004,Flores,PN,9567,FA,6049,PC,2796,219
2004,Florida,FA,21042,PN,20495,PC,7413,939
2004,Lavalleja,PN,22122,FA,14612,PC,7189,872
2004,Maldonado,FA,46945,PN,36218,PC,9278,3173
2004,Montevideo,FA,565974,PN,226552,PC,76099,34478
2004,Paysandú,PN,35357,FA,35053,PC,4720,517
2004,Río Negro,PN,15558,FA,14240,PC,4926,341
2004,Rivera,PN,32006,FA,21300,PC,15419,546
2004,Rocha,FA,22879,PN,20196,PC,6534,793
2004,Salto,FA,35359,PN,31823,PC,11610,693
2004,San José,PN,29663,FA,29277,PC,6683,1118
2004,Soriano,FA,26332,PN,25617,PC,7015,632
2004,Tacuarembó,PN,33931,FA,21241,PC,7887,662
2004,Treinta y Tres,PN,16386,FA,13047,PC,3907,440
2009,Artigas,PN,21464,FA,19362,PC,9801,535
2009,Canelones,FA,166185,PN,91412,PC,46580,10262
2009,Cerro Largo,PN,26508,FA,24968,PC,8489,771
2009,Colonia,FA,35369,PN,32720,PC,19221,2350
2009,Durazno,PN,17819,FA,14870,PC,8019,997
2009,Flores,PN,8815,FA,6146,PC,4162,316
2009,Florida,FA,19750,PN,18604,PC,10459,1374
2009,Lavalleja,PN,19522,FA,14411,PC,10488,1168
2009,Maldonado,FA,44580,PN,34409,PC,23231,3463
2009,Montevideo,FA,522205,PN,202210,PC,138987,40925
2009,Paysandú,FA,37056,PN,28451,PC,11677,1742
2009,Río Negro,FA,15480,PN,11604,PC,9447,708
2009,Rivera,PN,25976,FA,24974,PC,20002,868
2009,Rocha,FA,22123,PN,18067,PC,10305,1160
2009,Salto,FA,39982,PN,23344,PC,19445,1459
2009,San José,FA,30783,PN,25305,PC,11860,1817
2009,Soriano,FA,27595,PN,19098,PC,13530,1153
2009,Tacuarembó,PN,28605,FA,25312,PC,11251,1139
2009,Treinta y Tres,PN,16009,FA,14111,PC,5353,581
2014,Artigas,FA,21012,PN,20202,PC,8673,1090
2014,Canelones,FA,174148,PN,97938,PC,37227,18678
2014,Cerro Largo,FA,28381,PN,24280,PC,7442,1316
2014,Colonia,FA,39366,PN,34887,PC,12392,3597
2014,Durazno,PN,19060,FA,16038,PC,5350,1393
2014,Flores,PN,9500,FA,6806,PC,2846,492
2014,Florida,FA,19950,PN,19202,PC,7902,2066
2014,Lavalleja,PN,19671,FA,16117,PC,7620,1450
2014,Maldonado,FA,46219,PN,41578,PC,18680,6335
2014,Montevideo,FA,484916,PN,234042,PC,96989,62455
2014,Paysandú,FA,39953,PN,27944,PC,8893,2682
2014,Río Negro,FA,17176,PN,13609,PC,6472,1086
2014,Rivera,FA,27284,PN,23663,PC,20193,1564
2014,Rocha,FA,23136,PN,18746,PC,7859,2331
2014,Salto,FA,43913,PC,20115,PN,19194,2430
2014,San José,FA,33164,PN,26824,PC,8494,3068
2014,Soriano,FA,29419,PN,21451,PC,8803,2000
2014,Tacuarembó,PN,27958,FA,27049,PC,9850,1647
2014,Treinta y Tres,PN,16988,FA,14792,PC,3345,801
